id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
29204,29277.0,,,Gl 226,,,6.172129,82.106754,9.3729,50.26,-1336.86,-21.0,10.48,10.621,M3,1.514,-0.058,1.285826,9.283912,-4.86e-06,5.706e-05,-2.961e-05,1.6158594720893638,1.4330331897985211,2.436673558e-07,-6.481280169e-06,,,Cam,1,29204,,0.0049158655915686,,10.534,10.424
27535,27604.0,39170.0,,,,,5.844309,-1.429388,9.402,-3.56,65.47,0.0,9.38,9.514,F0,0.24,0.382999,9.391268,-0.234532,1.7e-07,7e-08,2.98e-06,1.5300364569805385,-0.024947533684235,-1.7259367e-08,3.17407516e-07,,,Ori,1,27535,,0.0136269919699486,,9.528,8.638
14067,14101.0,,,,,,3.030943,-16.593373,9.4197,-361.17,-304.4,0.0,10.4,10.53,,,6.331435,6.434849,-2.690055,8.97e-06,-1.44e-05,-1.332e-05,0.7934991137362619,-0.2896089860123763,-1.7510015701e-06,-1.475772843e-06,,,Eri,1,14067,,0.0053456435939697,,,
47291,47425.0,,,Gl 358,,,9.662908,-41.067557,9.467,-526.08,356.91,142.0,10.72,10.839,M:,1.521,-5.843427,4.100249,-6.220166,-8.457e-05,8.883e-05,-8.306e-05,2.529743470056657,-0.7167640814505637,-2.5505078107e-06,1.730348507e-06,,,Vel,1,47291,,0.0040216104433421,,10.804,10.664
86509,86776.0,,,Gl 694,,,17.732211,43.378612,9.4787,9.48,-602.62,-14.5,10.49,10.606,M3,1.528,-0.482592,-6.872396,6.510036,-1.4e-07,-8.25e-06,-3.031e-05,4.642282022152949,0.7570996081382412,4.59603369e-08,-2.921584201e-06,,,Her,1,86509,,0.0049842520940425,,,
119126,,,,GJ 3988,,,17.056637,51.405844,9.5057,143.97,623.6,0.0,13.56,13.67,k-m,1.75,-1.449495,-5.749763,7.429504,1.192e-05,2.015e-05,1.793e-05,4.465417161312796,0.8972012269359501,6.979862559e-07,3.023278719e-06,,,Dra,1,119126,,0.0002964831389524,,,
118323,,,,GJ 3306,,,4.630186,-8.818755,9.5147,232.54,-1502.11,0.0,13.77,13.878,DQ7,0.33,3.299977,8.804084,-1.458691,-1.376e-05,-6.16e-06,-6.847e-05,1.2121798552866383,-0.1539163140116,1.1273857328e-06,-7.282420232e-06,,,Eri,1,118323,,0.0002447935666196,,,
118263,,,,GJ 1065,,,3.845601,-6.094239,9.5329,-410.43,-1359.39,0.0,12.79,12.894,dM4,1.7,5.06738,8.010843,-1.012052,1.248e-05,-1.576e-05,-6.247e-05,1.0067759669605447,-0.1063645341618,-1.9898207891e-06,-6.590523236e-06,,,Eri,1,118263,,0.000605898671139,,,
118760,,,,Gl 432B,,,11.575063,-32.833234,9.5383,-669.95,821.44,0.0,15.0,15.103,m,,-7.965007,0.890014,-5.171626,-1.704e-05,3.307e-05,3.191e-05,3.030344518537356,-0.57304804208275,-3.2480092529e-06,3.982458345e-06,,,Hya,2,56283,Gl 432,7.92136454153e-05,,,
56283,56452.0,100623.0,4458.0,Gl 432A,,,11.574878,-32.83134,9.5593,-670.98,823.84,-22.6,5.96,6.058,K0V,0.811,-7.982524,0.892159,-5.182636,2.18e-06,3.104e-05,4.461e-05,3.030296016225204,-0.5730149737210313,-3.2530028338e-06,3.994089025e-06,,,Hya,1,56283,Gl 432,0.3287002239687752,,,
